Time,Latitude,Longitude,Airspeed,Altitude,Roll,Pitch,Yaw
30-Jun-2024 10:00:01,55.8691,-4.4351,0,0,0,0,0
30-Jun-2024 10:00:02,55.8680198997252,-4.43367139527685,0.617518544655512,36.6768546818561,-0.959733264911622,0.0333425951653237,-0.502733997376733
30-Jun-2024 10:00:03,55.8669397994503,-4.4322427905537,1.23503708931102,73.3537093637121,0,0.0666851903306474,0.0282366585570196
30-Jun-2024 10:00:04,55.8658596991755,-4.43081418583055,1.85255563396654,110.030564045568,0,0.100027785495971,0
30-Jun-2024 10:00:05,55.8647795892991,-4.42938562722153,2.47007417862205,146.707418727424,-0.122766337676555,0.133370380661295,0.16877280645709
30-Jun-2024 10:00:06,55.8636994253541,-4.42795732829065,3.08759272327756,183.38427340928,0,0.166712975826619,-0.648685800633847
30-Jun-2024 10:00:07,55.862619261409,-4.42652902935977,3.70511126793307,220.061128091136,0,0.200055570991942,0
30-Jun-2024 10:00:08,55.861539097464,-4.42510073042888,4.32262981258859,256.737982772993,0,0.233398166157266,0
30-Jun-2024 10:00:09,55.8604589143229,-4.42367252369755,4.9401483572441,293.414837454849,0,0.26674076132259,0
30-Jun-2024 10:00:10,55.8593786867312,-4.42224453046373,5.55766690189961,330.091692136705,0,0.300083356487913,0
30-Jun-2024 10:00:11,55.8582984591395,-4.42081653722992,6.17518544655512,366.768546818561,0,0.333425951653237,0
30-Jun-2024 10:00:12,55.8572182315478,-4.41938854399611,6.79270399121064,403.445401500417,0,0.366768546818561,0.533495879997266
30-Jun-2024 10:00:13,55.8561379751727,-4.41796068901856,7.41022253586615,440.122256182273,0,0.400111141983884,0
30-Jun-2024 10:00:14,55.8550576839579,-4.41653300138664,8.02774108052166,476.799110864129,0,0.433453737149208,0
30-Jun-2024 10:00:15,55.8539773927432,-4.41510531375473,8.64525962517717,513.475965545985,0,0.466796332314532,0
30-Jun-2024 10:00:16,55.8528971015284,-4.41367762612282,9.26277816983269,550.152820227841,0,0.500138927479856,0
30-Jun-2024 10:00:17,55.8518167719499,-4.41225012277521,9.8802967144882,586.829674909697,-0.531780601442333,0.533481522645179,0
30-Jun-2024 10:00:18,55.8507364171356,-4.41082274065006,10.4978152591437,623.506529591553,0,0.566824117810503,0
30-Jun-2024 10:00:19,55.8496560623214,-4.40939535852491,11.1153338037992,660.183384273409,0,0.600166712975827,0
30-Jun-2024 10:00:20,55.8485757075071,-4.40796797639976,11.7328523484547,696.860238955265,0,0.63350930814115,0
30-Jun-2024 10:00:21,55.8474953047559,-4.40654082455826,12.3503708931102,733.537093637122,0,0.666851903306474,0.301725942223973
30-Jun-2024 10:00:22,55.8464148863656,-4.40511374784476,12.9678894377658,770.213948318978,0,0.700194498471798,-0.764625170836045
